#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2500,4.999999999999671,-689863.4251999953,297.5487281953449,0
5000,10.000000000000009,-691283.9954794832,300.5723520611268,39.9
7500,15.000000000001679,-693980.6308485037,298.3368807140038,39.7
10000,19.999999999999794,-694979.5563889747,301.15559695473627,39.3
12500,24.999999999997023,-695648.4713571914,299.8162121818674,39
15000,29.99999999999425,-694726.1224484579,298.431849316481,38.7
17500,34.99999999999681,-694086.0075647603,299.2042294282543,38.3
20000,40.00000000000292,-694893.508097671,300.0413365572682,38
22500,45.00000000000903,-695771.782240659,298.604376724852,37.3
25000,50.00000000001514,-695761.1893996103,300.3377709248178,35.9
27500,55.00000000002125,-695188.4945542193,301.4536352958674,34.4
30000,60.00000000002736,-694818.8471985292,297.3938110802553,33.3
32500,65.00000000002991,-695053.7467682203,302.09181628464665,32.8
35000,70.00000000001826,-695075.374358552,299.94760435109345,32.5
37500,75.00000000000661,-696894.4557371596,301.30737295489524,32.3
40000,79.99999999999496,-695479.594822465,299.13993682052507,32.1
42500,84.9999999999833,-696713.95205815,301.93145234260294,32
45000,89.99999999997165,-695526.1368687027,300.0245950830103,31.9
47500,94.99999999996,-694242.8880428588,300.1841904543795,31.8
50000,99.99999999994834,-697035.8143678792,300.6980300744685,31.7
